mean_test_score,param_leaf_size,param_n_neighbors,param_p,param_weights
80.32876384495874,10,3,1,uniform
80.2418040716218,10,3,1,distance
80.87730264677117,10,3,1.5,uniform
80.74262737935439,10,3,1.5,distance
81.08963145024049,10,3,2,uniform
80.96490550156719,10,3,2,distance
79.49650534222852,10,5,1,uniform
78.65491223717656,10,5,1,distance
80.19914086245515,10,5,1.5,uniform
79.23698807749538,10,5,1.5,distance
80.4324375304418,10,5,2,uniform
79.47073409049423,10,5,2,distance
79.54746449988268,10,7,1,uniform
78.01412745326678,10,7,1,distance
80.35419169078844,10,7,1.5,uniform
78.64033471076371,10,7,1.5,distance
80.60732517443665,10,7,2,uniform
78.89319781677318,10,7,2,distance
80.32517900076861,30,3,1,uniform
80.24375298084188,30,3,1,distance
80.87419230342718,30,3,1.5,uniform
80.74283754809116,30,3,1.5,distance
81.08765720167538,30,3,2,uniform
80.96494659266213,30,3,2,distance
79.5051991543999,30,5,1,uniform
78.65918220231163,30,5,1,distance
80.19831774040654,30,5,1.5,uniform
79.23703524937959,30,5,1.5,distance
80.43625480288277,30,5,2,uniform
79.47393746708534,30,5,2,distance
79.55375636208252,30,7,1,uniform
78.01374465063955,30,7,1,distance
80.35001274123776,30,7,1.5,uniform
78.64099717303121,30,7,1.5,distance
80.59614642817067,30,7,2,uniform
78.89012005628557,30,7,2,distance
80.3336712548874,100,3,1,uniform
80.23427912565971,100,3,1,distance
80.87561156553896,100,3,1.5,uniform
80.73664234405705,100,3,1.5,distance
81.09426327353918,100,3,2,uniform
80.96034700865923,100,3,2,distance
79.48658131867816,100,5,1,uniform
78.64885139111996,100,5,1,distance
80.1905139650181,100,5,1.5,uniform
79.23305817647355,100,5,1.5,distance
80.42780967797026,100,5,2,uniform
79.46979904500743,100,5,2,distance
79.55390431653606,100,7,1,uniform
78.0131871325988,100,7,1,distance
80.35336587275182,100,7,1.5,uniform
78.63668940849159,100,7,1.5,distance
80.60003859833209,100,7,2,uniform
78.89038206343413,100,7,2,distance
