mean_test_score,param_alpha,param_fit_intercept,param_max_iter
105.79348689579197,0.5,True,200
105.79348689579197,0.5,True,1000
105.94977087719596,0.5,False,200
105.94977087719596,0.5,False,1000
105.79348689610174,1.0,True,200
105.79348689610174,1.0,True,1000
105.9497708776411,1.0,False,200
105.9497708776411,1.0,False,1000
105.7934868985798,5,True,200
105.7934868985798,5,True,1000
105.949770881202,5,False,200
105.949770881202,5,False,1000
105.79348690167735,10,True,200
105.79348690167735,10,True,1000
105.94977088565315,10,False,200
105.94977088565315,10,False,1000
