mean_test_score,param_learning_rate,param_loss,param_quantile
92.340546592231,0.05,squared_error,0
92.4787277959645,0.05,squared_error,0.5
92.4926414389491,0.05,squared_error,1
90.36268791398354,0.05,absolute_error,0
90.3849299221574,0.05,absolute_error,0.5
90.34742099918405,0.05,absolute_error,1
92.15382671094815,0.05,gamma,0
92.23509417902872,0.05,gamma,0.5
92.157135860478,0.05,gamma,1
92.25540884126328,0.05,poisson,0
92.23135492782093,0.05,poisson,0.5
92.21171307492492,0.05,poisson,1
,0.05,quantile,0
90.30515401874334,0.05,quantile,0.5
,0.05,quantile,1
85.25855821066254,0.1,squared_error,0
85.4771587707213,0.1,squared_error,0.5
85.35349354894538,0.1,squared_error,1
83.59482691944,0.1,absolute_error,0
83.90874827803289,0.1,absolute_error,0.5
83.69031417316246,0.1,absolute_error,1
85.09121212529676,0.1,gamma,0
84.96214878710968,0.1,gamma,0.5
84.98838923191012,0.1,gamma,1
84.76238755556744,0.1,poisson,0
85.07507298069542,0.1,poisson,0.5
85.05401873348647,0.1,poisson,1
,0.1,quantile,0
83.42414091756388,0.1,quantile,0.5
,0.1,quantile,1
73.07743746319804,0.3,squared_error,0
72.99396653542024,0.3,squared_error,0.5
73.07273432760488,0.3,squared_error,1
72.12659650009157,0.3,absolute_error,0
71.80962180577515,0.3,absolute_error,0.5
72.34180952939391,0.3,absolute_error,1
73.13522589097619,0.3,gamma,0
72.87881706600464,0.3,gamma,0.5
72.83429390465861,0.3,gamma,1
73.48591539490276,0.3,poisson,0
73.75137983582258,0.3,poisson,0.5
73.41391695207116,0.3,poisson,1
,0.3,quantile,0
71.96632489494674,0.3,quantile,0.5
,0.3,quantile,1
68.65234421745618,1,squared_error,0
68.60358451382535,1,squared_error,0.5
68.43851422468416,1,squared_error,1
67.1182845668873,1,absolute_error,0
67.09760018163313,1,absolute_error,0.5
67.24959065153438,1,absolute_error,1
71.38546766483164,1,gamma,0
71.01276183358024,1,gamma,0.5
71.02130194806114,1,gamma,1
70.07637119691492,1,poisson,0
70.56608515889475,1,poisson,0.5
70.46315960964345,1,poisson,1
,1,quantile,0
67.46288939403185,1,quantile,0.5
,1,quantile,1
